Cust_ID,RM,ACCT_BAL,ACCT_BAL_FY_START
86,12,3328224,535831
87,30,4180147,3558181
88,15,3891957,762448
89,4,2388691,971824
90,29,37204,4786433
91,42,817662,1931455
92,23,1024870,4114056
93,20,1330659,508126
94,29,2193942,1235426
95,28,4127807,5197454
96,23,3679846,590852
97,16,3853892,108247
98,20,1050484,2319589
99,47,1282550,1479856
100,28,1724734,1629765
101,36,3894385,3985520
102,29,1792336,864786
103,31,2457062,4410649
104,14,2633248,3962430
105,29,2784349,2781559
106,9,3644273,281063
107,30,347462,1778270
108,46,28487,3557981
109,49,1731789,5194256
110,50,654913,2458918
111,22,1945611,2175533
112,49,2949490,4587068
113,6,3306098,3795814
114,22,126061,582716
115,30,1555385,4243843
116,21,2517891,5280636
117,25,603131,5412235
118,8,462101,3365030
119,17,2830592,3037317
120,6,3241170,4752323
121,11,661892,90261
122,12,2538774,3184469
123,7,239182,4527667
124,36,2685621,5299948
125,35,2539504,676243
126,13,1180405,1037764
127,20,4103700,3539645
128,23,1362617,1375336
129,39,2028620,3457631
130,38,3839856,2039858
131,10,2508343,3846501
132,12,1091673,3187236
133,5,1195089,942438
134,32,2222429,374007
135,34,1398302,2013513
136,2,1680358,1014313
137,1,1735179,2882877
138,50,1006931,4122526
139,23,3164307,2495948
140,1,1144481,2397305
141,48,2138103,3030281
142,32,3021242,5075210
143,44,586830,698151
144,15,298657,3280624
145,49,355244,1067556
146,24,1316429,4099414
147,2,508055,3288467
148,34,994167,5214120
149,5,1284252,1717205
150,41,4213545,3141821
151,34,3214425,5346681
152,27,2322134,2796424
153,10,3499948,405587
154,45,3286287,2328782
155,7,1039451,1226957
156,20,1443126,2735124
157,35,7429,4774902
158,18,3854572,4733714
159,19,24061,3693186
160,35,2787677,1333718
161,31,2033750,4735953
162,2,3950449,3033777
163,16,1547292,2731024
164,47,1739009,2802809
165,14,3872493,3895202
166,9,1143567,97819
167,26,1400321,2327548
168,35,4065341,621823
169,6,1945041,1844750
170,43,1875877,4441684
171,26,1533293,5163229
172,44,717780,2821982
173,9,648793,1140230
174,40,3354648,440425
175,16,2193021,3971575
176,25,3396431,3234282
177,40,451701,1331826
178,21,2327119,684770
179,3,2118533,4704711
180,7,1805163,4792294
181,6,4203117,2104455
182,26,4159432,3858085
183,46,1128946,155275
184,49,503424,3447824
185,44,3741106,3995826
186,1,2816333,5051959
187,5,2067507,890387
188,42,4171422,2902297
189,34,647417,1319478
190,47,4195681,4650376
191,38,2325015,185914
192,49,3585359,5295501
193,43,3402968,1563054
194,15,3913483,449793
195,28,798043,4065455
196,49,2762555,1870255
197,15,3731481,4283060
198,38,3621226,139062
199,31,1180667,2182745
200,1,108370,1423602
201,7,298957,1035552
202,27,3342216,2838524
203,10,822910,53623
204,13,1836159,1181968
205,32,1777032,753300
206,16,2716379,4140577
207,48,381582,2582104
208,20,1787057,5301514
209,37,4045013,1748579
210,35,3290439,3372383
211,25,518261,715524
212,20,2220659,4289129
213,28,3266753,323398
214,12,1865109,819841
215,14,2117483,3554966
216,3,901050,2237317
217,25,4227521,2821195
218,3,3791921,1373344
219,49,3377218,4424375
220,2,73920,5387758
221,42,1042147,1359284
222,48,1031173,4868473
223,4,2942095,2371156
224,14,2996557,4444329
225,12,1005028,2917572
226,31,1848820,5389899
227,14,3964306,2395245
228,12,3293141,4362910
229,5,2327559,1395915
230,27,3258832,1921078
231,37,132699,4589999
232,6,1233348,3983773
233,27,2272801,328776
234,1,71641,1516711
235,24,408894,2378546
236,40,3080089,4586165
237,48,2044940,2525328
238,4,732006,3120726
239,12,382868,3779667
240,4,2783502,4494145
241,42,3669548,888880
242,28,3494226,3444286
243,47,4326041,2686688
244,48,2241351,2694874
245,46,1945739,3186306
246,49,2420726,1300271
247,25,1475796,479066
248,17,3765726,253388
249,16,1251123,4257874
250,49,2430431,968458
251,23,137818,1474720
252,26,374322,5112783
253,33,3099096,1164203
254,24,1089453,2649970
255,37,4350302,1541015
256,24,3988812,1255032
257,38,2053739,350907
258,49,1826848,3045794
259,8,1009590,1181012
260,9,4082588,4238623
261,1,220290,2613415
262,16,4287407,204058
263,24,3630707,71769
264,12,2803550,1135481
265,12,3863273,3489544
266,40,1773669,1019097
267,6,4296713,2969244
268,4,3420986,1466031
269,23,3000188,1002801
270,31,2546007,842189
271,28,1177460,3480188
272,7,2259665,2121023
273,32,3163767,3268165
274,11,2760556,4033188
275,26,1638247,2751274
276,31,1356784,4733963
277,7,1372693,1066250
278,6,3193011,5375039
279,35,440379,4333717
280,34,252283,5193022
281,19,2034249,5232679
282,3,4131139,2994964
283,5,3023893,4766172
284,12,1793503,4346547
285,46,634581,4425919
286,16,1098581,3348074
287,44,2674883,5187748
288,1,419601,4800385
289,23,2731035,3787149
290,43,2670604,2638951
291,27,2972519,3312529
292,35,1710355,166382
293,4,470767,4346182
294,36,216229,1824856
295,42,64104,1475398
296,43,1706335,3178353
297,34,3902810,202904
298,47,3567035,4032972
299,30,2772419,2048403
300,18,2536398,1869815
301,43,1243291,4117696
302,47,1032623,4470241
303,12,1899826,4647338
304,11,1756272,517579
305,11,2525041,2907596
306,24,3436818,2272290
307,25,1348717,5314764
308,15,2112984,573564
309,36,2839075,1439201
310,39,1837566,5064852
311,20,2116830,4028925
312,10,4111038,754329
313,47,1415301,3650146
314,30,3866372,517762
315,21,3933151,2473976
316,26,1789604,2971083
317,14,3125612,3270518
318,4,1428642,506330
319,1,2474028,3424227
320,11,2382634,1756689
321,38,2548760,4096451
322,8,2399601,3050395
323,8,4166853,1234501
324,15,666395,754398
325,45,2152353,3183893
326,44,3405190,1804231
327,11,485172,2272350
328,27,1074521,2240059
329,32,646069,1901722
330,14,2538060,5159890
331,15,314641,5404405
332,6,2993156,1214646
333,35,2943945,1035550
334,30,939846,3481263
335,23,718290,15125
336,10,65029,3995052
337,3,111274,4383702
338,34,102318,4406152
339,34,1572847,2188422
340,15,3287481,4856483
341,36,1450809,4140037
342,17,432258,3215853
343,26,900411,1590457
344,29,1503770,2439801
345,7,2803937,1900183
346,35,1365902,5182971
347,4,3632087,5112778
348,6,1314648,3926901
349,34,1074572,3798369
350,14,3064607,446336
351,28,2608624,1111790
352,38,2956576,816965
353,27,2471512,3119015
354,38,811206,2144947
355,30,2177676,2187406
356,11,2862054,2113173
357,42,338974,3353914
358,13,2781945,1639796
359,6,3688823,760552
360,13,814410,2379313
361,32,1674268,1488032
362,12,3280529,4364922
363,44,1353516,3140256
364,24,4247751,1202946
365,6,72989,2875072
366,7,4284998,4414650
367,22,1270023,906478
368,20,3981960,2353080
369,27,3313399,3428754
370,47,281816,3944947
371,38,2064061,775778
372,18,1662778,4397171
373,1,3417264,1597682
374,4,1718261,1546880
375,36,5860,671257
376,30,3858182,2648504
377,26,2221724,4887584
378,44,2580027,1064304
379,30,1617891,4131269
380,35,588123,2009723
381,49,1619110,3069044
382,20,247581,4075506
383,8,1452946,666384
384,11,1032574,4896278
385,37,2706001,3249845
386,50,4175567,2761388
387,21,950046,2166777
388,15,2681854,410900
389,44,1847520,548756
390,19,3328023,3621721
391,7,2958673,843196
392,50,913976,1238116
393,23,1464964,4626114
394,29,1703504,2519548
395,49,194876,1589917
396,11,2818984,4772780
397,39,1834207,4997541
398,24,3497261,4055528
399,23,16766,3387414
400,26,3787742,3315293
401,13,1201402,1950258
402,16,3931929,3511983
403,9,2125731,3207558
404,38,1837868,1033432
405,46,3596377,2734819
406,8,2982603,2913642
407,6,2835151,674411
408,21,2692935,2237847
409,22,158587,2522320
410,1,2961807,2148578
411,48,863278,2848588
412,35,2530980,963137
413,36,1921684,895730
414,18,2697247,638393
415,16,2124970,5150639
416,29,1896637,1036487
417,33,3606728,1085921
418,8,2492450,4261834
419,3,3194463,1028021
420,34,2140017,4889170
421,49,658397,2226910
422,25,4087508,2595334
423,11,708425,3000125
424,26,1303210,4197947
425,31,2647247,4151985
426,14,3295897,3545071
427,34,1824753,1504892
428,6,1191915,2389371
429,28,3383187,3025171
430,22,3787643,4906140
431,23,3060574,4632006
432,1,2403104,3956146
433,20,165098,2566490
434,40,2963864,555042
435,46,2000745,2639617
436,38,2467079,1916610
437,4,1674749,2781831
438,48,3285913,5245619
439,49,3498410,2202350
440,22,3889412,3836523
441,4,355336,747309
442,5,1793776,1508151
443,49,2301197,2115252
444,3,3683837,1708628
445,1,2125430,2055453
446,20,1713707,4658389
447,10,131801,373083
448,21,2347362,2380924
449,13,4255498,4666750
450,6,2634719,2610905
451,34,4218800,2096552
452,35,629345,3690780
453,19,1918174,481093
454,34,3819191,5255179
455,35,4269410,4072828
456,32,4276791,1382501
457,16,3101312,2784085
458,32,153129,2466909
459,4,3353760,4911719
460,6,1621118,3615819
461,37,478976,1244187
462,21,2511409,5059027
463,27,3499574,4012634
464,2,1990754,1563175
465,48,86730,4777288
466,3,912906,4600267
467,38,3777328,3244615
468,31,2808309,1673432
469,21,2460370,4325919
470,22,2853203,4383371
471,3,3978045,4956818
472,38,3113841,5012286
473,48,3298139,1817501
474,48,3723597,3835017
475,36,2266516,2964835
476,1,1588304,1188863
477,35,356671,2321576
478,10,1813369,2934372
479,50,2298311,1415438
480,32,100971,3879660
481,37,2013634,4207922
482,34,3320263,1372151
483,40,550380,3539330
484,39,4004758,4787690
485,20,119535,3623049
486,32,1234748,1325216
487,43,1495980,1974530
488,1,2724933,1103057
489,40,4018355,419523
490,4,788947,3261061
491,47,3172366,3074353
492,5,382039,1386825
493,41,55436,4970847
494,16,565582,3471067
495,29,2233846,4806232
496,22,2889171,4147252
497,18,2909085,3770698
498,2,1038663,4646469
499,7,4303628,5074727
500,38,1655850,1944686
501,6,1217295,3516130
502,39,2589882,1056986
503,22,3510635,4533485
504,13,3392691,359216
505,34,1177331,238000
506,22,4020540,761032
507,35,720264,4927000
508,11,3710970,2069204
509,10,2415476,1910349
510,11,1261819,4640072
511,37,1813065,5408209
512,28,987452,3176423
513,6,1223722,3009564
514,12,1026057,3857928
515,2,4276685,2869258
516,10,4280415,2901503
517,14,1206417,1301600
518,23,4239363,108077
519,8,2212206,4972892
520,12,217286,4937484
521,27,3846976,3627157
522,10,98127,1044725
523,11,238555,3713606
524,43,2484132,2443717
525,11,3257335,2520555
526,10,2164722,4362629
527,47,1488937,1565668
528,10,549946,1098817
529,7,2186763,4371860
530,31,2700398,2007478
531,50,1217324,4898614
532,35,1535577,1237487
533,19,3506199,1631059
534,13,848817,5166887
535,18,3742612,1151083
536,3,3462438,4507223
537,9,1003731,2880378
538,27,1365832,1423094
539,9,376045,3774130
540,7,3163708,5417871
541,12,414896,1077663
542,37,1178478,2862348
543,7,1744348,666515
544,11,2571812,5059448
545,10,2736350,2163459
546,38,2650006,394178
547,1,1458745,5292295
548,46,4057455,2721126
549,45,1316497,536898
550,19,3004839,2225059
551,21,935992,1036287
552,26,3175866,498969
553,33,2702415,4709368
554,50,578469,722384
555,45,1169297,2053513
556,44,2403031,1317270
557,17,892334,976576
558,1,1020871,5127516
559,27,4197412,3202258
560,17,3238927,4173664
561,35,2783340,4900558
562,48,4222258,2911608
563,44,2817676,1694309
564,3,513769,3062336
565,7,2765148,1069189
566,8,2149701,4245927
567,17,285029,406922
568,45,2629306,1104061
569,29,3761736,686667
570,31,1086527,5420617
571,8,2627497,2746568
572,38,2882640,4406685
573,7,1634941,2713485
574,34,3161648,332926
575,41,2386709,2738232
576,6,3098745,3325745
577,36,3068787,1342008
578,36,192525,5359123
579,15,3966322,1087367
580,7,3633195,5111246
581,4,2176046,3723936
582,17,2872084,3208828
583,29,750828,89119
584,36,3904,5047067
585,32,2738234,2427024
586,33,1315714,1192218
587,7,1638482,3024492
588,49,961981,1078731
589,19,3535655,3829161
590,1,880362,1279843
591,27,1318764,2065771
592,15,661845,5420365
593,36,2821130,437231
594,37,4222974,985895
595,16,805527,5219907
596,38,397003,4694372
597,3,4322829,1205505
598,28,833371,590411
599,46,2475021,171370
600,13,2517500,1004599
601,49,82900,4740642
602,25,919777,5247209
603,34,3154884,2317624
604,15,4029459,2641221
605,35,3344395,5084499
606,42,840636,4350983
607,27,2586336,3597624
608,40,1224252,82736
609,33,154774,4006910
610,36,903698,3178943
611,31,810918,4483601
612,32,1505566,5425113
613,37,897024,1640804
614,7,778565,3445380
615,39,3871077,3803347
616,19,3712479,366194
617,1,1536267,4676528
618,24,1695833,4273295
619,29,1534422,5232783
620,48,3331778,1334260
621,10,1949200,3616017
622,13,2703849,3332003
623,42,3785524,2930055
624,1,4255079,3956849
625,10,3527833,2847399
626,24,3649294,308753
627,44,2540225,1457568
628,3,24474,2971268
629,48,923830,298143
630,50,1976215,4147928
631,8,95780,4349887
632,13,4200926,5391476
633,34,3938458,712813
634,44,3975080,701588
635,21,3508089,4839656
636,29,582151,1086946
637,31,3117109,1410847
638,13,170742,824643
639,22,1664913,288717
640,7,2692736,2116800
641,3,2806774,5254084
642,28,2286573,5005529
643,33,3111083,2421985
644,7,2144940,4261990
645,4,3289562,1662501
646,14,1664500,4626783
647,27,59913,5237360
648,2,1620748,3319101
649,15,184588,3486920
650,28,1364411,475521
651,17,193648,652115
652,48,4315471,1961404
653,12,477785,4000126
654,44,3801064,2503405
655,20,3866155,2546512
656,25,419558,1725231
657,34,1328176,2428113
658,30,3741515,3116708
659,49,937533,1358685
660,23,3300006,2377591
661,46,3079601,1553080
662,27,3091541,1213268
663,34,3259245,2103466
664,44,2393952,4817304
665,13,875300,3518691
666,47,3999741,626273
667,15,1827777,51746
668,50,811523,902833
669,31,2270883,2727236
670,38,896031,5216243
671,50,2028269,1472767
672,43,2950982,3140785
673,41,4290695,3714628
674,39,2654480,1547781
675,34,3303712,2270589
676,29,2861673,1352238
677,17,2826188,2022329
678,43,2138466,1757132
679,40,983213,4278697
680,36,2038528,1708179
681,10,1177637,3410169
682,43,3466341,4682744
683,49,2303570,2615187
684,13,1614354,3172
685,25,108712,1802907
686,21,850670,3597199
687,41,1848354,2687782
688,37,655292,2328565
689,4,2551806,2150423
690,4,3078893,2479715
691,11,1619315,129957
692,9,3892410,5163577
693,21,648050,4583597
694,19,3723471,5345760
695,22,182248,165240
696,46,3641500,1892730
697,17,1468320,2306335
698,24,1358293,2907410
699,47,2926282,1789050
700,43,3499954,1265940
701,46,2324349,460633
702,18,2839293,992286
703,37,3930793,5374552
704,10,1536986,4122131
705,27,3932516,389637
706,34,418534,712696
707,8,3467084,2142116
708,29,201649,4293299
709,45,2633404,4174540
710,44,2082231,1685693
711,49,917401,3482546
712,35,1783319,3782165
713,9,2377583,1343380
714,39,3790297,4987414
715,3,4236868,887905
716,20,3633230,3263480
717,38,3007068,1720726
718,33,2023787,864355
719,28,2151138,2825022
720,17,2312020,1184962
721,5,2963445,3210880
722,36,3801772,3787216
723,11,3255806,1569970
724,44,548435,3182772
725,40,1168416,4317992
726,28,3874932,3326151
727,21,41952,3306957
728,29,3589593,5033363
729,48,682047,88003
730,22,1287718,2600973
731,42,340065,72224
732,2,2961674,2586109
733,25,4342067,4006888
734,22,2454078,3920089
735,48,1464809,4836163
736,27,1231523,1267757
737,30,3899771,4601698
738,10,1845448,4442996
739,42,2899560,4182148
740,23,3341563,4393683
741,29,2904992,2486890
742,50,1929570,3734136
743,13,698697,2684430
744,33,3065307,1093023
745,40,3805907,4469084
746,19,2632002,5323644
747,5,2937751,2524802
748,2,2466141,921857
749,37,1135558,3071071
750,18,909381,5405586
751,30,1554148,3692015
752,17,3225262,1472085
753,12,3684153,2435967
754,12,1597200,4907030
755,33,3583257,106580
756,4,1073171,3326586
757,35,2128625,93600
758,50,1550171,1966001
759,10,1739901,2751572
760,35,917338,493173
761,49,2167624,831613
762,46,3134917,448120
763,44,102041,582336
764,9,2459377,2758840
765,7,2803975,2013173
766,11,1414660,304901
767,32,42433,4546035
768,45,4160524,5144881
769,25,2736116,2121625
770,18,3058113,1835446
771,27,499907,708588
772,39,162951,572500
773,27,344359,1009344
774,31,662525,1847066
775,7,1914129,3322
776,21,1088887,3660075
777,11,4050193,1826266
778,45,552361,2270903
779,20,1231141,607792
780,24,3792556,365121
781,26,1310088,1575284
782,8,552147,2040584
783,44,3112120,2199339
784,47,2996165,3845025
785,39,223108,1812230
786,47,1392179,1294026
787,39,144759,1109210
788,3,2070,3971648
789,29,2322296,3841369
790,16,1262044,725098
791,34,2902494,2465186
792,17,72110,2418081
793,7,393802,321179
794,11,642147,1309764
795,36,1058744,3558697
796,12,1424852,987216
797,19,648931,1625736
798,20,3756513,4725280
799,43,1132694,1799735
800,45,1646962,3111611
801,38,185928,3512332
802,50,4178691,167275
803,18,1970252,2107878
804,28,3574193,3148809
805,14,42367,4987674
806,17,3508179,16415
807,50,2011571,3791938
808,43,3491594,2317764
809,42,1395881,409410
810,8,1450561,5045764
811,44,2273256,272061
812,5,4118891,1726386
813,30,3671549,2230206
814,30,821805,2316282
815,4,2954414,1827061
816,11,711164,4624885
817,42,2762367,930191
818,31,3545160,2656839
819,49,2009816,350689
820,26,1566568,5242390
821,36,3503723,4198616
822,39,137146,3214884
823,46,1464124,3936953
824,2,1036131,4538119
825,30,7302,4971113
826,32,460701,988037
827,11,516780,4673494
828,46,3171176,1077729
829,16,1487630,197592
830,27,285375,103654
831,10,3620066,2132268
832,22,3750974,1000370
833,33,3769500,4326486
834,21,1240629,1978355
835,14,3685408,2105214
836,44,2609538,1648578
837,2,1188305,4931314
838,46,972465,779848
839,16,641482,5005616
840,24,3217321,4907789
841,39,1356825,2678995
842,17,2050742,3304701
843,18,3002916,3807254
844,12,708267,1475105
845,26,1785519,2773464
846,40,2654905,4865929
847,14,2794560,718278
848,18,88376,4756888
849,7,230024,4374892
850,35,3694450,4947263
851,20,2924432,1544986
852,16,3052692,4018161
853,3,3445583,3157720
854,20,1327749,2176998
855,10,4058532,5305595
856,30,2680046,3134212
857,38,119133,590860
858,30,727443,4762065
859,9,1934236,3625890
860,10,2641217,2679207
861,29,2901461,2940203
862,28,2775469,5168683
863,24,265129,3915874
864,43,1882002,231694
865,5,2938424,3767663
866,28,1785904,5364205
867,14,792390,335952
868,19,2646331,91001
869,18,3519191,4803770
870,48,2482706,260600
871,27,1356676,2925948
872,50,2565715,4150876
873,48,175507,2553163
874,49,285237,2918195
875,18,1954873,3789825
876,12,1448234,346145
877,45,3188817,3080732
878,45,1646879,417144
879,20,1588316,4467515
880,35,3202324,2605011
881,27,2833842,1846631
882,24,1325209,3518004
883,30,2403082,3621159
884,34,641728,5350250
885,41,1490913,2354684
886,6,850282,664421
887,40,1250331,2586738
888,19,2155253,1028891
889,22,2431597,393837
890,24,3591576,3629306
891,47,379210,3725169
892,20,356948,5207567
893,14,3254097,4309115
894,24,1825175,3679537
895,25,1948013,2373812
896,12,3543574,1880531
897,33,4290270,2563257
898,15,3603067,2193665
899,2,2403771,3850744
900,43,954173,4458076
901,2,3404577,3034186
902,14,4091297,4781694
903,10,458981,1538297
904,16,2350284,4621819
905,21,3513982,3093426
906,48,2880398,647993
907,42,147710,4412443
908,6,2595976,3106365
909,31,2826188,4941632
910,40,3576051,733271
911,17,3782301,5157569
912,39,1448440,5177207
913,45,3004136,738461
914,4,698086,4020034
915,39,2728363,4244382
916,14,424604,4032635
917,28,3087433,3489489
918,43,424508,4104850
919,12,2487000,5259592
920,34,1142976,499243
921,10,102057,3161795
922,40,3238182,2876752
923,19,1316210,3173027
924,38,3569315,3652740
925,5,2292858,4658572
926,13,1371288,3547797
927,44,1897152,1838021
928,36,2886962,1280667
929,5,896185,633698
930,15,832957,1435925
931,13,1792322,3489565
932,15,2264503,537942
933,48,3696715,1522780
934,14,431712,2861709
935,44,176648,2664558
936,41,3862810,1754800
937,15,3410554,3092105
938,19,2749051,3084836
939,30,3508500,4292560
940,10,2221170,485922
941,7,1959160,1248563
942,14,4310938,4714956
943,15,1025103,3238374
944,37,2185461,4007830
945,14,4104052,3838297
946,41,1289236,1715405
947,46,762145,1887662
948,15,198139,4717450
949,33,189919,2684617
950,8,1602225,3553688
951,10,1637804,861063
952,12,1383939,2060602
953,1,1873501,358395
954,9,3429616,2353983
955,31,2198674,740944
956,43,32086,190985
957,15,2111464,1983413
958,22,1084866,597181
959,41,493636,1796232
960,15,2700633,171433
961,25,3373115,243821
962,32,2972344,656535
963,6,349783,3247168
964,14,3533665,1104676
965,14,2667258,989901
966,36,2751552,688736
967,48,739676,2577123
968,4,1393107,247630
969,21,1993242,2504866
970,42,2580413,2816950
971,40,724080,3920288
972,6,604582,209264
973,16,147413,954
974,28,2417103,50418
975,8,222817,2066687
976,38,1706743,150187
977,49,255018,3859211
978,33,1274648,384151
979,1,2980337,3378460
980,10,3507429,160891
981,41,378031,1233350
982,23,1444218,5152541
983,1,249860,1987054
984,19,2549297,2365008
985,18,365070,4023589
986,16,1470065,5246407
987,2,1142462,2105036
988,33,2068658,3346443
989,36,704014,3018029
990,5,2484703,4443014
991,21,2357014,2620454
992,32,663961,838927
993,4,1769808,3213753
994,38,2721732,1293013
995,15,915373,466591
996,33,3988889,23915
997,26,1916639,3126976
998,40,1121515,770989
999,24,2397148,494735
1000,18,858019,1370808
1001,25,1161881,2581125
1002,32,795803,3463528
1003,34,492746,4428342
1004,18,1965384,2816020
1005,8,3104202,430640
1006,1,3639538,3457274
1007,29,3369721,1594031
1008,8,2086764,796674
1009,25,3478839,4907855
1010,28,2062194,3614622
1011,11,1702570,4501453
1012,27,2762693,839723
1013,26,4287350,2211847
1014,15,1170205,3580110
1015,25,1817485,1665732
1016,5,3209194,1785024
1017,48,3438838,4969221
1018,21,3435682,2569832
1019,24,2541681,4874740
1020,36,2239095,1248695
1021,45,3315211,611279
1022,40,4233269,1409258
1023,26,1968525,3846036
1024,5,1015631,4950648
1025,47,1923926,2650870
1026,22,4089999,2637485
1027,41,4299611,2063915
1028,33,1463911,3257941
1029,47,2650697,2845546
1030,39,1313878,4592416
1031,8,3875951,3598150
1032,48,4041391,2767155
1033,27,1546017,1230170
1034,31,240391,383655
1035,15,2805588,4433147
1036,22,4349483,2587098
1037,31,2995373,536630
1038,11,282278,4007362
1039,28,3257233,2337702
1040,31,979314,2496474
1041,34,444366,3507000
1042,36,2704697,2770952
1043,42,4084448,3218598
1044,13,79368,3323453
1045,9,2445452,5387453
1046,29,4066570,4491214
1047,49,90937,3643752
1048,28,1648536,5059687
1049,36,2321093,5240357
1050,26,3583744,1528999
1051,4,3964338,1645578
1052,21,1915679,1432597
1053,36,1427088,2390791
1054,7,717128,2167877
1055,28,2818805,2460416
1056,19,1074321,1691996
1057,36,1452305,2539561
1058,16,3885883,3006567
1059,40,1372534,3631852
1060,13,1115402,2168412
1061,17,3842587,2716053
1062,17,3281191,3370740
1063,50,3911268,714619
1064,16,281179,5232172
1065,35,2560745,1152311
1066,10,338289,1402669
1067,23,2002803,1383509
1068,40,3508814,491794
1069,9,13134,1629713
1070,40,2455097,4355274
1071,8,114426,2376332
1072,29,765203,1413641
1073,20,1217690,4512334
1074,42,3163932,5393228
1075,50,3612943,2993020
1076,16,1774878,1980848
1077,37,1431245,2531558
1078,47,1437242,3660061
1079,12,1934622,1106660
1080,26,1037427,3198060
1081,31,916813,5264261
1082,22,977349,3316232
1083,34,2426867,2725445
1084,46,3514498,2630617
1085,46,2120753,4510880
1086,14,3252635,1286374
1087,14,2088709,85211
1088,25,1806965,5355888
1089,41,1545880,243337
1090,27,2164594,2573415
1091,42,3769164,905266
1092,36,2401411,4095544
1093,16,1383313,1803532
1094,19,3981220,1808355
1095,3,1144963,1716376
1096,39,1469374,2193476
1097,17,552026,4062532
1098,8,4163898,3080318
1099,4,1091704,3934707
1100,50,3163206,4105778
1101,28,954326,2807049
1102,9,420357,437044
1103,21,2381792,3533209
1104,28,2920802,3982975
1105,29,58641,4756553
1106,40,2290083,1458245
1107,10,3343206,4355588
1108,13,2453675,4366642
1109,1,3865536,4915341
1110,26,1804368,4660698
1111,24,1163402,1011752
1112,49,1951253,2994780
1113,2,3967439,187573
1114,35,3765780,3166989
1115,4,822309,2525238
1116,37,2110777,3275248
1117,7,2640357,620117
1118,6,557477,1938551
1119,27,2641953,4072324
1120,46,516609,132082
1121,19,998393,3590459
1122,13,3395187,1131027
1123,27,2404968,1228063
1124,28,2752915,3416137
1125,24,1015822,1826755
1126,46,1872851,1380090
1127,44,3833183,2716973
1128,34,595849,3190520
1129,32,233827,933821
1130,24,2870590,1729050
1131,39,1079585,1095292
1132,37,1102362,5410016
1133,42,192434,1588937
1134,32,3217094,5347839
1135,43,3884100,1549057
1136,8,4188192,2110592
1137,37,494016,3965412
1138,34,2626962,380147
1139,47,3983832,5385927
1140,22,3594698,2182265
1141,43,3251034,1107754
1142,44,577234,4062717
1143,21,1584927,4511849
1144,23,1027013,2951458
1145,27,2893477,1242954
1146,24,2188524,1414466
1147,28,676443,5023234
1148,7,2546741,5015968
1149,6,2395795,298956
1150,8,1231476,902791
1151,48,509869,1591489
1152,32,1092384,4537947
1153,39,1024340,3727658
1154,8,158428,4782321
1155,22,3248860,5416832
1156,44,436703,1225137
1157,45,1183437,1195496
1158,5,3826592,1722383
1159,43,4251746,3006534
1160,40,1992571,2678801
1161,42,819498,5326773
1162,19,4013857,124263
1163,26,48967,1106235
1164,11,3685310,4263267
1165,44,1361181,174522
1166,43,847438,4560542
1167,16,692366,2618445
1168,49,3789483,878579
1169,34,3837914,900529
1170,26,778692,3740313
1171,5,3778781,4671519
1172,19,3509751,4439785
1173,41,3173407,5209536
1174,15,308050,3883651
1175,26,3331627,3015613
1176,9,3389172,3693948
1177,18,1650069,2648778
1178,17,1569416,4793610
1179,5,414027,1402802
1180,11,762662,5337396
1181,9,4053479,5372860
1182,11,1194492,5411876
1183,25,1244712,1483039
1184,47,3716170,5187292
1185,32,1052798,2436038
