Cust_ID,Location_Type,Investment_risk_tol,Avg_mon_expense,Investment_needs,BAnking_Needs,Pref_channel,Lifestyle,Net_Worth,Persona,Biz_Type,Biz_Size,Biz_Age,Turnover,Credit_Score
30,Suburban,High,220565.17,Wealth accumulation,Car Loans,ATM,Luxury,489968994,Senior Citizens,Finance,,,,367
31,Semi-urban,Medium,35824.66,Long-term growth,Education Loans,Internet Banking,Minimalist,199788940,High Net Worth Individuals (HNIs),Transportation,3.0,19.0,117581126.0,357
32,Suburban,Low,89270.5966666667,Capital preservation,Insurance,Relationship Manager,Middle-class,245500413,Young Professionals,Automotive,,,,447
33,Tier 1 city,High,29289.92,Short-term gains,Home Loans,Internet Banking,Frugal,463251703,Young Professionals,Construction,,,,701
34,Tier 2 city,Medium,344191.166666667,Tax savings,Insurance,Relationship Manager,Luxury,87904240,Self-Employed Professionals,Finance,10.0,20.0,51107150.0,561
35,Tier 1 city,High,327103.785,Capital preservation,Insurance,Relationship Manager,Frugal,124016003,Housewives,Finance,,,,468
36,Tier 1 city,High,39483.1441666667,Wealth accumulation,Credit Card,Branch,Minimalist,39653952,Salaried Employees,Retail,,,,501
37,Rural,Low,25090.45,Long-term growth,Current Account,Mobile Banking,Frugal,331217667,NRIs (Non-Resident Indians),Agriculture,23.0,17.0,87303061.0,809
38,Suburban,Medium,82863.425,Wealth accumulation,Home Loans,Mobile Banking,Middle-class,475706373,Students,Finance,,,,424
39,Rural,Low,17118.3291666667,Retirement planning,Insurance,Relationship Manager,Luxury,38279951,High Net Worth Individuals (HNIs),Manufacturing,21.0,5.0,137503278.0,607
40,Tier 3 city,High,4902.70083333333,Short-term gains,Car Loans,Phone Banking,Semi-Luxury,469917641,Students,Art and Design,,,,498
41,Hill station,Low,19502.4358333333,Capital preservation,Car Loans,Relationship Manager,Frugal,338987589,Senior Citizens,Art and Design,,,,848
42,Coastal,Low,35582.775,Retirement planning,Current Account,Internet Banking,Frugal,439146286,Young Professionals,Energy,,,,423
43,Semi-urban,Low,93739.5766666667,Stable returns,Fixed Deposits,ATM,Luxury,305184320,NRIs (Non-Resident Indians),Energy,24.0,15.0,104123499.0,456
44,Tier 2 city,Low,182056.84,Stable returns,Insurance,Mobile Banking,Frugal,15985433,Self-Employed Professionals,Agriculture,1.0,11.0,195726534.0,387
45,Urban,Medium,202493.964166667,Stable returns,Insurance,Internet Banking,Frugal,28122942,Senior Citizens,Hospitality,,,,502
46,Urban,Low,42679.28,Tax savings,Personal Loans,Relationship Manager,Minimalist,375054582,Senior Citizens,Beauty and Wellness,,,,900
47,Suburban,Medium,78172.08,Stable returns,Fixed Deposits,Relationship Manager,Minimalist,488567558,High Net Worth Individuals (HNIs),Consulting,6.0,16.0,42929344.0,483
48,Hill station,Medium,52768.1616666667,Long-term growth,Fixed Deposits,Phone Banking,Semi-Luxury,82861537,Young Professionals,Automotive,,,,353
49,Metro,Medium,195917.919166667,Stable returns,Current Account,Internet Banking,Budget,190034546,Self-Employed Professionals,Sports and Fitness,1.0,24.0,102477616.0,384
50,Tier 1 city,High,244276.745,Capital preservation,Education Loans,Mobile Banking,Middle-class,413088956,Self-Employed Professionals,Manufacturing,22.0,17.0,91627184.0,888
51,Urban,High,183583.4,Short-term gains,Personal Loans,Internet Banking,Middle-class,454768268,Young Professionals,Hospitality,,,,599
52,Coastal,High,220155.286666667,Wealth accumulation,Insurance,Branch,Middle-class,191190680,Rural Customers,Construction,13.0,19.0,125060242.0,573
53,Rural,Medium,20499.6225,Tax savings,Personal Loans,Mobile Banking,Semi-Luxury,28318190,Senior Citizens,Fashion,,,,344
54,Suburban,Low,57799.0533333333,Short-term gains,Current Account,Phone Banking,Minimalist,355372532,Rural Customers,Beauty and Wellness,12.0,13.0,98417757.0,644
55,Hill station,Medium,152448.079166667,Wealth accumulation,Home Loans,Relationship Manager,Luxury,466073143,Young Professionals,,,,,766
56,Tier 1 city,Medium,156380.0475,Stable returns,Education Loans,Mobile Banking,Minimalist,380728215,NRIs (Non-Resident Indians),IT Services,9.0,10.0,154099348.0,405
57,Suburban,Medium,1953.27083333333,Wealth accumulation,Insurance,Phone Banking,Minimalist,253957583,Rural Customers,Construction,15.0,20.0,29743480.0,897
58,Tier 2 city,Low,14807.74,Stable returns,Education Loans,Mobile Banking,Middle-class,215682520,Self-Employed Professionals,Telecommunications,3.0,20.0,193048842.0,552
59,Hill station,Medium,385675.3,Wealth accumulation,Car Loans,Internet Banking,Budget,278791529,Young Professionals,Hospitality,,,,826
60,Urban,Low,42683.5416666667,Tax savings,Current Account,Internet Banking,Frugal,40567474,Self-Employed Professionals,Education,23.0,1.0,197836916.0,646
61,Tier 3 city,High,227105.776666667,Wealth accumulation,Home Loans,Phone Banking,Frugal,227034876,Students,E-commerce,,,,745
62,Tier 3 city,Medium,20153.4166666667,Retirement planning,Personal Loans,Relationship Manager,Frugal,90225512,Young Professionals,Construction,,,,648
63,Coastal,Low,124900.975,Long-term growth,Insurance,Internet Banking,Semi-Luxury,292387680,Salaried Employees,E-commerce,,,,631
64,Metro,High,41635.845,Capital preservation,Education Loans,ATM,Minimalist,228707835,Young Professionals,Transportation,,,,377
65,Rural,Medium,150345.599166667,Long-term growth,Savings Account,Phone Banking,Middle-class,499599236,Housewives,Transportation,,,,851
66,Rural,Medium,70551.445,Retirement planning,Recurring Deposits,Relationship Manager,Frugal,365292250,Students,Art and Design,,,,397
67,Metro,Low,14213.035,Capital preservation,Current Account,Relationship Manager,Semi-Luxury,432968996,High Net Worth Individuals (HNIs),Telecommunications,23.0,25.0,42414033.0,323
68,Semi-urban,Low,6576.57,Capital preservation,Current Account,ATM,Middle-class,258794014,Senior Citizens,Beauty and Wellness,,,,345
69,Coastal,High,372586.05,Stable returns,Personal Loans,Branch,Luxury,359804840,NRIs (Non-Resident Indians),Energy,23.0,6.0,115370699.0,841
70,Urban,High,19762.05,Tax savings,Credit Card,Branch,Semi-Luxury,119916675,Senior Citizens,Fashion,,,,604
71,Suburban,High,74257.6533333333,Long-term growth,Home Loans,Internet Banking,Frugal,85344103,Small Business Owners,Food and Beverage,1.0,17.0,84635214.0,495
72,Hill station,Low,81055.845,Short-term gains,Home Loans,Mobile Banking,Luxury,448296354,Self-Employed Professionals,E-commerce,12.0,16.0,98655967.0,385
73,Tier 3 city,Low,4787.835,Capital preservation,Car Loans,Phone Banking,Semi-Luxury,149278824,Students,Retail,,,,816
74,Tier 2 city,Medium,213586.48,Capital preservation,Personal Loans,Phone Banking,Semi-Luxury,220273356,Senior Citizens,Healthcare,,,,845
75,Urban,High,231669.323333333,Stable returns,Current Account,Branch,Minimalist,24754387,Senior Citizens,E-commerce,,,,822
76,Suburban,Medium,3060.235,Stable returns,Car Loans,Mobile Banking,Budget,120462193,High Net Worth Individuals (HNIs),Food and Beverage,3.0,3.0,118767154.0,629
77,Suburban,High,7241.84333333333,Long-term growth,Fixed Deposits,Relationship Manager,Middle-class,471356433,High Net Worth Individuals (HNIs),Non-Profit,6.0,8.0,111499116.0,338
78,Tier 1 city,Medium,68886.51,Stable returns,Home Loans,Relationship Manager,Luxury,246142730,Salaried Employees,Telecommunications,,,,689
79,Tier 1 city,Low,88856.1283333333,Retirement planning,Fixed Deposits,Phone Banking,Minimalist,214251844,Salaried Employees,Media and Entertainment,,,,357
80,Urban,High,77778.4,Capital preservation,Education Loans,Relationship Manager,Minimalist,208567175,Small Business Owners,Fashion,0.0,8.0,121885203.0,403
81,Semi-urban,Medium,107396.761666667,Stable returns,Current Account,Phone Banking,Semi-Luxury,319293044,Rural Customers,Fashion,14.0,21.0,24102028.0,496
82,Rural,Medium,65309.9333333333,Long-term growth,Car Loans,Mobile Banking,Budget,381094929,Senior Citizens,Media and Entertainment,,,,857
83,Tier 1 city,Medium,41754.67,Short-term gains,Credit Card,Relationship Manager,Semi-Luxury,114046379,High Net Worth Individuals (HNIs),Non-Profit,6.0,11.0,78405509.0,449
84,Tier 3 city,Low,36516.0325,Tax savings,Car Loans,Branch,Frugal,486406149,Young Professionals,Manufacturing,,,,662
85,Tier 3 city,High,11921.7816666667,Stable returns,Savings Account,Mobile Banking,Budget,348548268,High Net Worth Individuals (HNIs),Media and Entertainment,5.0,3.0,10219088.0,736
86,Tier 2 city,Low,169702.379166667,Capital preservation,Recurring Deposits,Phone Banking,Middle-class,157029733,Rural Customers,Non-Profit,17.0,11.0,165651914.0,893
87,Urban,Medium,230733.953333333,Retirement planning,Current Account,ATM,Luxury,169174710,Senior Citizens,Energy,,,,584
88,Semi-urban,Low,255550.985,Long-term growth,Insurance,Phone Banking,Minimalist,477283064,Rural Customers,Automotive,15.0,14.0,3449804.0,739
89,Semi-urban,High,56803.1,Retirement planning,Current Account,ATM,Luxury,420958356,Rural Customers,Automotive,0.0,24.0,4367153.0,485
90,Metro,High,17061.0833333333,Wealth accumulation,Car Loans,Mobile Banking,Luxury,61889802,High Net Worth Individuals (HNIs),Retail,10.0,17.0,78331938.0,496
91,Hill station,Low,387535.37,Long-term growth,Savings Account,ATM,Frugal,235792395,Rural Customers,Agriculture,5.0,4.0,101887324.0,662
92,Tier 3 city,Low,3847.605,Long-term growth,Personal Loans,Mobile Banking,Middle-class,403497995,Small Business Owners,Education,19.0,14.0,57933304.0,731
93,Coastal,High,81296.1625,Wealth accumulation,Home Loans,Internet Banking,Semi-Luxury,415965116,Housewives,Healthcare,,,,491
94,Tier 3 city,Low,201053.815,Tax savings,Car Loans,ATM,Frugal,16451152,Self-Employed Professionals,E-commerce,12.0,7.0,133982760.0,635
95,Metro,Medium,31325.8166666667,Stable returns,Credit Card,Relationship Manager,Frugal,484747652,Senior Citizens,Media and Entertainment,,,,860
96,Tier 1 city,High,140666.08,Long-term growth,Education Loans,ATM,Semi-Luxury,495606780,Self-Employed Professionals,Consulting,9.0,17.0,143245546.0,544
97,Tier 1 city,High,181476.96,Retirement planning,Home Loans,Phone Banking,Luxury,403468054,NRIs (Non-Resident Indians),Real Estate,5.0,17.0,5955440.0,432
98,Semi-urban,High,17296.9583333333,Wealth accumulation,Fixed Deposits,Mobile Banking,Frugal,82561242,Self-Employed Professionals,Retail,21.0,7.0,174716366.0,802
99,Urban,Low,76249.5983333333,Long-term growth,Education Loans,Internet Banking,Minimalist,114497321,Self-Employed Professionals,Non-Profit,7.0,14.0,189294366.0,447
100,Rural,Medium,142643.88,Retirement planning,Recurring Deposits,Phone Banking,Budget,467877975,Students,Transportation,,,,731
101,Metro,High,132040.879166667,Retirement planning,Recurring Deposits,Internet Banking,Frugal,421448488,Senior Citizens,Construction,,,,875
102,Hill station,High,19221.735,Capital preservation,Insurance,Relationship Manager,Minimalist,233421518,Housewives,Telecommunications,,,,819
103,Tier 1 city,Medium,1799.24,Short-term gains,Recurring Deposits,Phone Banking,Semi-Luxury,165468833,Students,Consulting,,,,806
104,Tier 1 city,High,5950.81333333333,Retirement planning,Insurance,Branch,Semi-Luxury,213222356,Self-Employed Professionals,Consulting,23.0,2.0,197159.0,862
105,Hill station,Low,311235.1175,Wealth accumulation,Current Account,Relationship Manager,Luxury,63969706,Housewives,E-commerce,,,,526
106,Tier 2 city,Medium,146213.578333333,Retirement planning,Insurance,Phone Banking,Minimalist,454577893,NRIs (Non-Resident Indians),Media and Entertainment,7.0,1.0,43841332.0,546
107,Hill station,Medium,137676.4025,Stable returns,Recurring Deposits,Branch,Frugal,245970585,Senior Citizens,Healthcare,,,,481
108,Tier 2 city,Low,3863.1175,Long-term growth,Savings Account,Mobile Banking,Semi-Luxury,193549457,Small Business Owners,Consulting,12.0,16.0,184032219.0,701
109,Tier 1 city,Medium,65622.5558333333,Stable returns,Recurring Deposits,Phone Banking,Semi-Luxury,455378530,Senior Citizens,Construction,,,,401
110,Suburban,High,63968.4416666667,Wealth accumulation,Savings Account,Branch,Middle-class,488138087,Small Business Owners,IT Services,22.0,23.0,46044872.0,373
111,Tier 2 city,High,127805.72,Short-term gains,Current Account,Internet Banking,Luxury,507377,Senior Citizens,Agriculture,,,,541
112,Rural,High,287552.18,Stable returns,Education Loans,Relationship Manager,Budget,144549576,Senior Citizens,Construction,,,,802
113,Tier 1 city,Low,82416.9633333333,Retirement planning,Fixed Deposits,Relationship Manager,Luxury,492301203,Salaried Employees,Education,,,,437
114,Metro,Medium,35020.8833333333,Long-term growth,Credit Card,ATM,Luxury,452358598,Students,Hospitality,,,,495
115,Semi-urban,Low,44195.925,Long-term growth,Personal Loans,Branch,Minimalist,394627176,Senior Citizens,Sports and Fitness,,,,458
116,Tier 2 city,Medium,132606.660833333,Capital preservation,Fixed Deposits,Branch,Luxury,74994464,Salaried Employees,Beauty and Wellness,,,,622
117,Rural,High,23424.0133333333,Retirement planning,Credit Card,Internet Banking,Minimalist,355074118,Young Professionals,Education,,,,896
118,Metro,Low,222330.646666667,Wealth accumulation,Fixed Deposits,Relationship Manager,Budget,423304437,Young Professionals,Media and Entertainment,,,,591
119,Hill station,Low,153922.8525,Wealth accumulation,Credit Card,ATM,Frugal,285512776,Salaried Employees,Real Estate,,,,506
120,Tier 3 city,Low,124073.73,Retirement planning,Car Loans,Phone Banking,Budget,294384979,High Net Worth Individuals (HNIs),Art and Design,1.0,10.0,132834805.0,395
121,Tier 3 city,Medium,3252.87666666667,Wealth accumulation,Personal Loans,Internet Banking,Frugal,205429540,Senior Citizens,Art and Design,,,,456
122,Hill station,Medium,119243.96,Capital preservation,Recurring Deposits,ATM,Luxury,114117662,Small Business Owners,Education,17.0,23.0,87445430.0,659
123,Urban,Low,7158.11333333333,Short-term gains,Savings Account,Relationship Manager,Luxury,445193676,Young Professionals,Sports and Fitness,,,,891
124,Metro,Low,175140.5725,Long-term growth,Car Loans,Branch,Budget,184305304,Students,Beauty and Wellness,,,,786
125,Tier 3 city,Low,25421.3183333333,Short-term gains,Credit Card,Phone Banking,Luxury,38732297,Rural Customers,Transportation,5.0,15.0,107179948.0,685
126,Rural,High,12671.3125,Capital preservation,Savings Account,Mobile Banking,Semi-Luxury,364301610,Senior Citizens,Non-Profit,,,,310
127,Suburban,High,347352.06,Tax savings,Fixed Deposits,Branch,Frugal,135311835,Salaried Employees,Hospitality,,,,481
128,Coastal,High,64977.0266666667,Retirement planning,Savings Account,Branch,Middle-class,331397234,Rural Customers,Real Estate,23.0,17.0,183873114.0,596
129,Urban,Low,63571.5141666667,Short-term gains,Recurring Deposits,Mobile Banking,Minimalist,185891689,Self-Employed Professionals,Government,5.0,25.0,189342982.0,886
130,Rural,High,175387.05,Long-term growth,Home Loans,Internet Banking,Budget,495409932,Salaried Employees,Manufacturing,,,,625
131,Rural,High,118951.733333333,Wealth accumulation,Home Loans,Branch,Semi-Luxury,277371385,Young Professionals,Non-Profit,,,,733
132,Tier 2 city,Medium,130651.138333333,Retirement planning,Car Loans,Relationship Manager,Luxury,324053526,High Net Worth Individuals (HNIs),Fashion,5.0,4.0,37100464.0,876
133,Tier 1 city,Low,186510.94,Long-term growth,Insurance,Phone Banking,Luxury,83980515,NRIs (Non-Resident Indians),,0.0,10.0,194828271.0,528
134,Metro,Medium,309666.0,Tax savings,Home Loans,Mobile Banking,Middle-class,495275081,Senior Citizens,Retail,,,,801
135,Coastal,Low,269050.32,Tax savings,Credit Card,ATM,Minimalist,386347794,Salaried Employees,Automotive,,,,411
136,Tier 1 city,Low,15699.3375,Stable returns,Savings Account,Mobile Banking,Middle-class,61642272,Students,Transportation,,,,439
137,Tier 3 city,Low,418.405,Wealth accumulation,Fixed Deposits,Relationship Manager,Budget,339518940,Self-Employed Professionals,Consulting,8.0,17.0,74439647.0,382
138,Tier 1 city,Low,12490.24,Short-term gains,Current Account,Relationship Manager,Budget,376488126,NRIs (Non-Resident Indians),Government,4.0,20.0,171005063.0,830
139,Metro,High,142585.8,Capital preservation,Education Loans,Relationship Manager,Semi-Luxury,481672060,NRIs (Non-Resident Indians),Construction,16.0,25.0,38052757.0,777
140,Urban,Medium,359697.73,Short-term gains,Home Loans,Mobile Banking,Semi-Luxury,267082623,Young Professionals,IT Services,,,,653
141,Tier 3 city,Low,238763.76,Tax savings,Fixed Deposits,Internet Banking,Minimalist,496246408,NRIs (Non-Resident Indians),IT Services,22.0,9.0,21928027.0,748
142,Rural,Medium,15665.0433333333,Long-term growth,Savings Account,Relationship Manager,Frugal,485842515,Self-Employed Professionals,Telecommunications,25.0,6.0,102953943.0,553
143,Tier 2 city,High,137525.5,Short-term gains,Insurance,ATM,Luxury,201860693,Rural Customers,Transportation,19.0,1.0,167143954.0,492
144,Tier 1 city,Medium,155594.845,Short-term gains,Recurring Deposits,Mobile Banking,Budget,346582407,Young Professionals,Government,,,,376
145,Rural,Medium,171330.936666667,Long-term growth,Current Account,Branch,Minimalist,391911168,Rural Customers,Manufacturing,10.0,25.0,189230787.0,668
146,Urban,High,7794.1875,Retirement planning,Personal Loans,Phone Banking,Budget,394042753,Self-Employed Professionals,Automotive,8.0,8.0,21160031.0,643
147,Suburban,Low,170652.236666667,Capital preservation,Savings Account,Branch,Minimalist,367859710,Senior Citizens,Food and Beverage,,,,793
148,Tier 1 city,Low,48306.2991666667,Wealth accumulation,Personal Loans,Mobile Banking,Middle-class,370468013,High Net Worth Individuals (HNIs),Media and Entertainment,7.0,19.0,139124622.0,511
149,Urban,Medium,151949.816666667,Long-term growth,Car Loans,Mobile Banking,Budget,292195272,High Net Worth Individuals (HNIs),Energy,0.0,11.0,107640588.0,331
150,Metro,High,264477.06,Tax savings,Education Loans,Mobile Banking,Semi-Luxury,3522143,Self-Employed Professionals,Construction,15.0,19.0,40946596.0,450
151,Tier 2 city,High,27730.8,Capital preservation,Personal Loans,Relationship Manager,Semi-Luxury,310544726,Senior Citizens,,,,,457
152,Urban,High,20949.2133333333,Short-term gains,Car Loans,ATM,Frugal,473108344,Rural Customers,Art and Design,22.0,0.0,61947811.0,597
153,Suburban,Medium,197074.035,Stable returns,Current Account,Internet Banking,Frugal,444702504,Small Business Owners,E-commerce,11.0,17.0,163408756.0,470
154,Hill station,Medium,161107.07,Wealth accumulation,Insurance,ATM,Luxury,105073118,Housewives,Sports and Fitness,,,,371
155,Tier 1 city,Medium,81617.9733333333,Stable returns,Recurring Deposits,Phone Banking,Budget,173657196,High Net Worth Individuals (HNIs),Fashion,3.0,18.0,152189030.0,433
156,Urban,Low,227541.249166667,Retirement planning,Credit Card,Relationship Manager,Semi-Luxury,14907779,Senior Citizens,Education,,,,381
157,Rural,Medium,24360.0375,Wealth accumulation,Savings Account,Branch,Middle-class,279779056,High Net Worth Individuals (HNIs),Fashion,8.0,5.0,38561745.0,416
158,Coastal,Low,34645.4833333333,Retirement planning,Savings Account,Relationship Manager,Minimalist,350799809,Salaried Employees,Hospitality,,,,876
159,Semi-urban,High,74243.5925,Wealth accumulation,Fixed Deposits,Internet Banking,Luxury,3694244,Young Professionals,Construction,,,,602
160,Rural,High,162838.23,Long-term growth,Education Loans,Relationship Manager,Budget,376407717,NRIs (Non-Resident Indians),E-commerce,16.0,18.0,36204206.0,396
161,Urban,High,11169.315,Retirement planning,Home Loans,Mobile Banking,Middle-class,172230579,NRIs (Non-Resident Indians),Education,9.0,13.0,20328870.0,751
162,Coastal,Medium,156545.415,Stable returns,Fixed Deposits,Branch,Luxury,423127044,Young Professionals,Healthcare,,,,631
163,Hill station,Low,195808.083333333,Long-term growth,Credit Card,Relationship Manager,Middle-class,307400135,High Net Worth Individuals (HNIs),Government,4.0,7.0,195837973.0,561
164,Tier 1 city,Low,60035.0125,Capital preservation,Recurring Deposits,Mobile Banking,Budget,325221160,High Net Worth Individuals (HNIs),Non-Profit,20.0,4.0,54201188.0,585
165,Tier 3 city,Low,43580.525,Tax savings,Credit Card,ATM,Semi-Luxury,498594270,Salaried Employees,Automotive,,,,369
166,Semi-urban,Medium,0.0,Stable returns,Fixed Deposits,Branch,Middle-class,386424845,Senior Citizens,Beauty and Wellness,,,,782
167,Tier 1 city,Medium,145257.385,Long-term growth,Car Loans,Internet Banking,Luxury,346456752,Senior Citizens,Real Estate,,,,590
168,Semi-urban,Low,346924.7925,Retirement planning,Current Account,ATM,Semi-Luxury,317808101,Self-Employed Professionals,Consulting,18.0,12.0,129592203.0,639
169,Tier 3 city,Low,53926.7,Wealth accumulation,Credit Card,Relationship Manager,Middle-class,417460376,Self-Employed Professionals,Non-Profit,3.0,7.0,137783197.0,720
170,Suburban,Medium,223087.209166667,Stable returns,Education Loans,Internet Banking,Semi-Luxury,366056988,NRIs (Non-Resident Indians),Energy,10.0,3.0,135049851.0,343
171,Hill station,Low,287450.944166667,Long-term growth,Fixed Deposits,Internet Banking,Budget,496888556,Small Business Owners,Hospitality,21.0,22.0,5828138.0,879
172,Tier 2 city,Low,3471.37166666667,Stable returns,Current Account,Mobile Banking,Middle-class,402465739,Students,Food and Beverage,,,,778
173,Rural,High,60342.23,Retirement planning,Insurance,Relationship Manager,Frugal,93893499,Self-Employed Professionals,IT Services,23.0,19.0,190070161.0,710
174,Tier 3 city,Medium,107149.3125,Retirement planning,Recurring Deposits,Relationship Manager,Semi-Luxury,214058572,Young Professionals,Healthcare,,,,303
175,Metro,Low,38220.7,Capital preservation,Savings Account,Phone Banking,Minimalist,318319149,Students,Finance,,,,623
176,Coastal,Low,32526.0625,Retirement planning,Savings Account,Relationship Manager,Luxury,281726133,Housewives,IT Services,,,,454
177,Coastal,High,44101.05,Wealth accumulation,Personal Loans,Phone Banking,Luxury,211403998,Housewives,Healthcare,,,,759
178,Tier 1 city,Medium,323803.656666667,Short-term gains,Current Account,Relationship Manager,Minimalist,179956878,Salaried Employees,Agriculture,,,,367
179,Tier 3 city,High,301556.7625,Capital preservation,Current Account,Relationship Manager,Luxury,139444463,Small Business Owners,Hospitality,9.0,12.0,170836126.0,847
180,Tier 2 city,High,77056.735,Capital preservation,Education Loans,Mobile Banking,Luxury,322088144,Rural Customers,Healthcare,23.0,6.0,154664965.0,387
181,Metro,Medium,0.0,Long-term growth,Recurring Deposits,ATM,Minimalist,165851451,Rural Customers,Government,13.0,3.0,104401287.0,793
182,Metro,Low,79210.62,Tax savings,Education Loans,Branch,Luxury,10739815,High Net Worth Individuals (HNIs),Sports and Fitness,21.0,1.0,1084276.0,662
183,Urban,High,99608.0133333333,Stable returns,Recurring Deposits,Branch,Luxury,136494257,Young Professionals,Government,,,,887
184,Metro,Medium,26030.75,Long-term growth,Credit Card,Phone Banking,Minimalist,168236317,High Net Worth Individuals (HNIs),Energy,25.0,1.0,39711097.0,768
185,Tier 2 city,High,232329.12,Stable returns,Current Account,Mobile Banking,Semi-Luxury,280707966,NRIs (Non-Resident Indians),Telecommunications,15.0,18.0,11301372.0,519
186,Rural,High,4640.545,Long-term growth,Insurance,Relationship Manager,Middle-class,269381407,Senior Citizens,Telecommunications,,,,896
187,Tier 1 city,Low,714.4775,Tax savings,Education Loans,Phone Banking,Luxury,297184382,Small Business Owners,Government,1.0,1.0,77245383.0,619
188,Suburban,Medium,122760.66,Short-term gains,Insurance,ATM,Semi-Luxury,319418696,Salaried Employees,Media and Entertainment,,,,509
189,Suburban,Low,225357.93,Retirement planning,Personal Loans,Relationship Manager,Budget,3555593,Housewives,Finance,,,,363
190,Metro,High,94519.2233333333,Long-term growth,Recurring Deposits,Branch,Semi-Luxury,237095999,High Net Worth Individuals (HNIs),Education,22.0,11.0,148006492.0,563
